,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
19982,purchase,21,3,1,14.210833333333333,18,2,5,170.53,0.09523809523809523,0.6666666666666666
279,purchase,4,1,1,0.09861111111111111,2,1,2,2.958333333333333,0.25,1.0
34952,purchase,3,1,1,0.17527777777777778,1,1,1,10.516666666666667,0.3333333333333333,1.0
12996,purchase,3,1,1,0.017777777777777778,1,1,1,1.0666666666666667,0.3333333333333333,1.0
32057,purchase,13,2,1,45.31444444444445,8,2,3,906.288888888889,0.15384615384615385,1.0
3614,purchase,8,1,1,3.243333333333333,3,1,1,194.6,0.125,1.0
3835,purchase,22,5,1,148.59777777777776,20,1,5,1783.1733333333332,0.045454545454545456,0.2
25001,purchase,4,1,1,0.058888888888888886,2,1,1,3.533333333333333,0.25,1.0
4425,purchase,6,2,2,23.468055555555555,4,1,3,469.36111111111114,0.16666666666666666,0.5
27850,purchase,4,1,1,13.778888888888888,2,1,1,826.7333333333332,0.25,1.0
23985,purchase,17,9,1,0.42444444444444446,15,1,1,25.46666666666667,0.058823529411764705,0.1111111111111111
4398,purchase,16,7,3,161.14305555555555,10,3,6,1611.4305555555557,0.1875,0.42857142857142855
24716,purchase,18,5,4,74.75416666666666,13,2,7,640.7499999999999,0.1111111111111111,0.4
13168,purchase,10,2,1,0.85,2,2,1,51.0,0.2,1.0
38928,purchase,13,1,1,5.031944444444444,9,3,2,150.95833333333331,0.23076923076923078,3.0
6452,purchase,15,3,1,18.356666666666666,11,2,3,367.1333333333333,0.13333333333333333,0.6666666666666666
25508,purchase,11,5,1,72.65527777777778,8,2,3,1453.1055555555556,0.18181818181818182,0.4
10026,purchase,59,17,4,75.74944444444445,51,4,3,1514.9888888888888,0.06779661016949153,0.23529411764705882
8640,purchase,4,1,1,0.044444444444444446,2,1,2,1.3333333333333335,0.25,1.0
26441,purchase,4,1,1,0.11166666666666666,2,1,1,6.7,0.25,1.0
31195,purchase,3,1,1,0.034722222222222224,1,1,1,2.0833333333333335,0.3333333333333333,1.0
30566,purchase,5,1,1,1.1441666666666668,2,1,1,68.65,0.2,1.0
17948,purchase,7,1,1,18.96472222222222,5,1,3,379.2944444444444,0.14285714285714285,1.0
2849,purchase,6,1,1,10.154722222222222,2,1,2,304.64166666666665,0.16666666666666666,1.0
22592,purchase,4,1,1,0.15472222222222223,2,1,1,9.283333333333333,0.25,1.0
3598,purchase,7,1,1,291.0572222222222,4,0,3,5821.144444444444,0.0,0.0
22319,purchase,4,1,1,0.03333333333333333,2,1,2,1.0,0.25,1.0
35134,purchase,4,1,1,0.02722222222222222,2,1,1,1.6333333333333333,0.25,1.0
39210,purchase,5,1,1,0.4494444444444444,3,1,1,26.966666666666665,0.2,1.0
35014,purchase,6,1,1,0.43944444444444447,2,1,2,13.183333333333334,0.16666666666666666,1.0
25680,purchase,8,3,1,14.705,6,1,2,441.15,0.125,0.3333333333333333
27337,purchase,4,1,1,32.75111111111111,2,1,2,982.5333333333332,0.25,1.0
